title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Power Stone,26.0,6.51,1999,TV,Finished Airing,PG - Children,24 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Studio Pierrot'],24.0
Mononoke Hime,1.0,8.67,0,Movie,Finished Airing,PG-13 - Teens 13 or older,2 hr 13 min,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",['Studio Ghibli'],2.0
RahXephon,26.0,7.37,2002,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",['Bones'],23.0
Samurai 7,26.0,7.43,2004,TV,Finished Airing,PG-13 - Teens 13 or older,26 min per ep,['Sci-Fi'],['Gonzo'],26.0
Scrapped Princess,24.0,7.36,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['Bones'],23.0
s.CRY.ed,26.0,7.36,2001,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Sunrise'],24.0
Shingetsutan Tsukihime,12.0,6.78,2003,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Horror', 'Mystery', 'Romance', 'Supernatural']",['J.C.Staff'],24.0
Slam Dunk,101.0,8.55,1993,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sports'],['Toei Animation'],23.0
Strange Dawn,13.0,6.32,2000,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Drama', 'Fantasy']",['HAL Film Maker'],23.0
Tactics,25.0,7.19,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Mystery', 'Supernatural']",['Studio Deen'],24.0
Tenjou Tenge,24.0,6.86,2004,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Drama', 'Supernatural', 'Ecchi']",['Madhouse'],23.0
Tokyo Underground,26.0,6.59,2002,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",['Studio Pierrot'],25.0
